Date,Open,High,Low,Close,Adj Close,Volume
2016-05-10,4.520000,4.580000,3.980000,4.100000,4.100000,91928400
2016-05-11,4.080000,4.240000,3.950000,4.080000,4.080000,52774600
2016-05-12,4.120000,4.290000,3.670000,3.760000,3.760000,49401400
2016-05-13,3.670000,3.740000,3.500000,3.510000,3.510000,44945400
2016-05-16,3.650000,4.020000,3.590000,3.940000,3.940000,56708300
2016-05-17,3.480000,3.730000,3.440000,3.600000,3.600000,51064900
2016-05-18,3.690000,4.110000,3.609000,3.990000,3.990000,40354500
2016-05-19,3.930000,4.190000,3.625000,3.700000,3.700000,36713500
2016-05-20,3.710000,4.020000,3.710000,3.990000,3.990000,28375400
2016-05-23,4.300000,4.580000,4.190000,4.320000,4.320000,37654300
2016-05-24,4.450000,4.580000,4.350000,4.430000,4.430000,18163000
2016-05-25,4.440000,4.500000,4.260000,4.450000,4.450000,12498100
2016-05-26,4.370000,4.400000,4.250000,4.370000,4.370000,10434600
2016-05-27,4.680000,5.100000,4.640000,4.810000,4.810000,32359700
2016-05-31,4.780000,4.870000,4.610000,4.760000,4.760000,15637400
2016-06-01,4.760000,5.050000,4.650000,4.980000,4.980000,18658100
2016-06-02,4.950000,5.070000,4.850000,5.060000,5.060000,10300000
2016-06-03,5.020000,5.020000,4.600000,4.620000,4.620000,18855600
2016-06-06,4.810000,4.850000,4.681000,4.740000,4.740000,11276300
2016-06-07,4.720000,4.770000,4.340000,4.390000,4.390000,23789300
2016-06-08,4.670000,4.690000,4.200000,4.420000,4.420000,22555300
2016-06-09,4.640000,4.640000,4.280000,4.470000,4.470000,18317500
2016-06-10,4.440000,4.490000,4.200000,4.260000,4.260000,11633000
2016-06-13,4.260000,4.480000,4.130000,4.440000,4.440000,11856700
2016-06-14,4.370000,4.580000,4.180000,4.420000,4.420000,18836000
2016-06-15,4.450000,4.720000,4.420000,4.650000,4.650000,12474200
2016-06-16,4.630000,5.030000,4.610000,4.960000,4.960000,22705200
2016-06-17,4.900000,4.930000,4.781000,4.870000,4.870000,12957500
2016-06-20,4.990000,5.140000,4.880000,5.000000,5.000000,18837000
2016-06-21,4.950000,5.029000,4.820000,4.920000,4.920000,10194400
2016-06-22,5.000000,5.000000,4.815000,4.840000,4.840000,7429600
2016-06-23,4.900000,4.980000,4.850000,4.980000,4.980000,9699100
2016-06-24,4.980000,4.980000,4.580000,4.690000,4.690000,43353400
2016-06-27,4.590000,4.600000,4.260000,4.300000,4.300000,12225300
2016-06-28,4.460000,4.625000,4.390000,4.610000,4.610000,16752500
2016-06-29,4.710000,4.710000,4.500000,4.540000,4.540000,12768900
2016-06-30,4.550000,4.575000,4.260000,4.300000,4.300000,12487600
2016-07-01,4.370000,4.490000,4.320000,4.380000,4.380000,7786300
2016-07-05,4.380000,4.390000,4.050000,4.170000,4.170000,17304000
2016-07-06,4.070000,4.240000,4.030000,4.200000,4.200000,11377100
2016-07-07,4.280000,4.350000,4.150000,4.250000,4.250000,10331900
2016-07-08,4.290000,4.380000,4.260000,4.320000,4.320000,8592800
2016-07-11,4.400000,4.440000,4.270000,4.370000,4.370000,5655800
2016-07-12,4.380000,4.410000,4.090000,4.100000,4.100000,15701600
2016-07-13,4.160000,4.280000,4.150000,4.250000,4.250000,7064600
2016-07-14,4.300000,4.520000,4.210000,4.510000,4.510000,11423500
2016-07-15,4.500000,4.570000,4.430000,4.490000,4.490000,7187500
2016-07-18,4.560000,4.670000,4.470000,4.600000,4.600000,11441800
2016-07-19,4.600000,4.620000,4.460000,4.600000,4.600000,7255600
2016-07-20,4.620000,4.680000,4.490000,4.610000,4.610000,6547900
2016-07-21,4.610000,4.650000,4.550000,4.590000,4.590000,11710400
2016-07-22,4.550000,4.588000,4.400000,4.410000,4.410000,9071100
2016-07-25,4.390000,4.410000,4.300000,4.340000,4.340000,6932600
2016-07-26,4.370000,4.650000,4.310000,4.640000,4.640000,6715600
2016-07-27,4.580000,4.700000,4.510000,4.650000,4.650000,4851800
2016-07-28,4.620000,4.780000,4.590000,4.600000,4.600000,3799400
2016-07-29,4.580000,4.620000,4.530000,4.620000,4.620000,4524000
2016-08-01,4.600000,4.640000,4.555000,4.590000,4.590000,3837900
2016-08-02,4.560000,4.590000,4.400000,4.470000,4.470000,5361300
2016-08-03,4.460000,4.650000,4.430000,4.640000,4.640000,4332500
2016-08-04,4.650000,4.780000,4.530000,4.600000,4.600000,7122400
2016-08-05,4.630000,4.790000,4.600000,4.750000,4.750000,7288700
2016-08-08,4.780000,4.930000,4.710000,4.790000,4.790000,15205200
2016-08-09,4.580000,4.990000,4.300000,4.790000,4.790000,25031700
2016-08-10,4.840000,4.940000,4.650000,4.910000,4.910000,15475300
2016-08-11,4.900000,5.600000,4.820000,5.460000,5.460000,26338800
2016-08-12,5.410000,5.490000,5.298000,5.400000,5.400000,10555300
2016-08-15,5.410000,5.910000,5.410000,5.820000,5.820000,13529500
2016-08-16,5.750000,5.835000,5.540000,5.630000,5.630000,13015500
2016-08-17,5.610000,5.739000,5.330000,5.530000,5.530000,9314800
2016-08-18,5.500000,5.670000,5.400000,5.590000,5.590000,7718800
2016-08-19,5.580000,5.600000,5.430000,5.490000,5.490000,8653300
2016-08-22,5.450000,5.550000,5.310000,5.390000,5.390000,7137100
2016-08-23,5.330000,5.410000,5.150000,5.240000,5.240000,8182100
2016-08-24,5.240000,5.630000,5.240000,5.440000,5.440000,9009100
2016-08-25,5.450000,5.640000,5.410000,5.520000,5.520000,9104400
2016-08-26,5.530000,5.650000,5.350000,5.400000,5.400000,6768600
2016-08-29,5.400000,5.585000,5.390000,5.560000,5.560000,4259200
2016-08-30,5.600000,5.630000,5.455000,5.500000,5.500000,5462400
