Symbol,Name,Currency
AAPL,Apple Inc,USD
ADPT,Adeptus Health,USD
ALN,绿润集团,USD
CCIH,蓝汛,USD
CYOU,畅游,USD
CYTX,赛瑞托疗法,USD
EJ,易居中国,USD
FSLR,First Solar Inc,USD
HABT,Habit Restaurants,USD
JD,京东,USD
JKS,晶科能源,USD
KANG,爱康国宾,USD
LC,Lending Club,USD
MOMO,陌陌,USD
MU,Micron Technology Inc,USD
NVDA,Nvidia Corporation,USD
NVRO,Nevro Corporation,USD
QUNR,去哪儿网,USD
T14,天津中新药业,SGD
TEDU,达内科技,USD
VNET,世纪互联,USD
WB,微博,USD
XIN,鑫苑置业,USD
YONG,永业国际,USD
