Date,Close
2018-01-08,8.39
2018-01-09,8.2
2018-01-10,8.31
2018-01-11,7.66
2018-01-12,7.93
2018-01-13,7.93
2018-01-15,7.75
2018-01-16,7.85
2018-01-17,7.84
2018-01-18,7.66
2018-01-19,7.83
2018-01-22,7.85
2018-01-23,8.06
2018-01-24,8.06
2018-01-25,8.2
2018-01-26,8.32
2018-01-29,8.6
2018-01-30,8.42
2018-01-31,8.36
2018-02-01,8.26
2018-02-02,8.58
2018-02-05,8.28
2018-02-06,7.52
2018-02-07,7.22
2018-02-08,7.14
2018-02-09,6.55
2018-02-12,6.68
2018-02-13,6.9
2018-02-14,7.15
2018-02-15,7.39
2018-02-16,7.39
2018-02-19,7.39
2018-02-20,7.5
2018-02-21,7.78
2018-02-22,7.57
2018-02-23,7.96
2018-02-26,7.95
2018-02-27,7.61
2018-02-28,7.77
2018-03-01,7.84
2018-03-02,7.55
2018-03-05,7.15
2018-03-06,7.36
2018-03-07,7.17
2018-03-08,7.3
2018-03-09,7.72
2018-03-11,7.72
2018-03-12,8.06
2018-03-13,8.05
2018-03-14,8.35
2018-03-15,8.36
2018-03-16,8.38
2018-03-17,8.38
2018-03-18,8.38
2018-03-19,8.22
2018-03-20,8.25
2018-03-21,7.98
2018-03-22,7.92
2018-03-23,7.45
2018-03-26,7.97
2018-03-27,8.24
2018-03-28,8.1
2018-03-29,8.52
2018-03-30,8.52
2018-03-31,8.52
2018-04-01,8.52
2018-04-02,8.52
2018-04-03,9.16
2018-04-04,8.8
2018-04-05,8.8
2018-04-06,9.1
2018-04-07,9.1
2018-04-08,9.1
2018-04-09,9.07
2018-04-10,9.41
2018-04-11,9.29
2018-04-12,9.06
2018-04-13,9.050
