Date,Close
2014-12-24,4.79
2014-12-29,4.8
2014-12-30,4.7
2014-12-31,4.77
2015-01-02,4.72
2015-01-05,4.77
2015-01-06,4.73
2015-01-07,4.7
2015-01-08,4.66
2015-01-09,4.69
2015-01-12,4.66
2015-01-13,4.5
2015-01-14,4.44
2015-01-15,4.45
2015-01-16,4.36
2015-01-19,4.4
2015-01-20,4.38
2015-01-21,4.54
2015-01-22,4.67
2015-01-23,4.68
2015-01-26,4.68
2015-01-27,4.78
2015-01-28,4.75
2015-01-29,4.7
2015-01-30,4.77
2015-02-02,4.75
2015-02-03,4.74
2015-02-04,4.69
2015-02-05,4.7
2015-02-06,4.7
2015-02-09,4.7
2015-02-10,4.68
2015-02-11,4.7
2015-02-12,4.71
2015-02-13,4.75
2015-02-16,4.75
2015-02-17,4.76
2015-02-18,4.75
2015-02-23,4.71
2015-02-24,4.75
2015-02-25,4.74
2015-02-26,4.75
2015-02-27,4.7
2015-03-02,4.7
2015-03-03,4.65
2015-03-04,4.43
2015-03-05,4.39
2015-03-06,4.22
2015-03-09,4.3
2015-03-10,4.3
2015-03-11,4.3
2015-03-12,4.3
2015-03-13,4.31
2015-03-16,4.3
2015-03-17,4.3
2015-03-18,4.3
2015-03-19,4.15
2015-03-20,4.25
2015-03-23,4.3
2015-03-24,4.18
2015-03-25,4.08
2015-03-26,4.25
2015-03-27,4.26
2015-03-30,4.34
2015-03-31,4.28
2015-04-01,4.31
2015-04-02,4.42
2015-04-08,4.53
2015-04-09,5.35
2015-04-10,5.29
2015-04-13,5.2
2015-04-14,5.23
2015-04-15,5.37
2015-04-16,5.39
2015-04-17,5.34
2015-04-20,5.41
2015-04-21,5.34
2015-04-22,5.35
2015-04-23,5.26
2015-04-24,5.09
2015-04-27,5.19
2015-04-28,5.03
2015-04-29,5.18
2015-04-30,5.06
2015-05-04,5.04
2015-05-05,4.67
2015-05-06,4.72
2015-05-07,4.76
2015-05-08,4.77
2015-05-11,4.8
2015-05-12,4.79
2015-05-13,4.86
2015-05-14,4.8
2015-05-15,4.69
2015-05-18,4.97
2015-05-19,4.99
2015-05-20,4.95
2015-05-21,4.99
2015-05-22,4.99
2015-05-26,5.0
2015-05-27,4.89
2015-05-28,4.9
2015-05-29,4.7
2015-06-01,4.76
2015-06-02,4.85
2015-06-03,5.02
2015-06-04,4.96
2015-06-05,4.8
2015-06-08,4.78
2015-06-09,4.67
2015-06-10,4.56
2015-06-11,4.7
2015-06-12,4.68
2015-06-15,4.67
2015-06-16,4.66
2015-06-17,4.67
2015-06-18,4.68
2015-06-19,4.64
2015-06-22,4.5
2015-06-23,4.54
2015-06-24,4.5
2015-06-25,4.43
2015-06-26,4.44
2015-06-29,4.32
2015-06-30,4.35
2015-07-02,4.24
2015-07-03,4.2
2015-07-06,3.96
2015-07-07,3.52
2015-07-08,3.45
2015-07-09,3.72
2015-07-10,3.7
2015-07-13,3.75
2015-07-14,3.75
2015-07-15,3.74
2015-07-16,3.74
2015-07-17,3.8
2015-07-20,3.83
2015-07-21,3.75
2015-07-22,3.89
2015-07-23,3.9
2015-07-24,3.94
2015-07-27,3.84
2015-07-28,3.77
2015-07-29,3.82
2015-07-30,3.9
2015-07-31,3.91
2015-08-03,3.99
2015-08-04,3.98
2015-08-05,3.81
2015-08-06,3.81
2015-08-07,3.95
2015-08-10,3.9
2015-08-11,4.04
2015-08-12,3.97
2015-08-13,3.95
2015-08-14,4.01
2015-08-17,4.05
2015-08-18,4.01
2015-08-19,3.98
2015-08-20,3.93
2015-08-21,3.75
2015-08-24,3.8
2015-08-25,3.8
2015-08-26,3.8
2015-08-27,3.86
2015-08-28,3.85
2015-08-31,3.8
2015-09-01,3.8
2015-09-02,3.78
2015-09-04,3.78
2015-09-07,3.79
2015-09-08,3.74
2015-09-09,3.8
2015-09-10,3.8
2015-09-11,3.78
2015-09-14,3.79
2015-09-15,3.76
2015-09-16,3.79
2015-09-17,3.8
2015-09-18,3.8
2015-09-21,3.8
2015-09-22,3.75
2015-09-23,3.8
2015-09-25,3.76
2015-09-29,3.76
2015-09-30,3.8
2015-10-02,3.8
2015-10-05,3.8
2015-10-06,3.7
2015-10-07,3.8
2015-10-08,3.7
2015-10-12,3.7
2015-10-14,3.7
2015-10-15,3.62
2015-10-16,3.69
2015-10-19,3.63
2015-10-20,3.7
2015-10-22,3.62
2015-10-23,3.79
2015-10-26,3.8
2015-10-27,3.72
2015-10-28,3.7
2015-10-29,3.7
2015-10-30,3.8
2015-11-02,3.8
2015-11-03,3.77
2015-11-04,3.64
2015-11-05,3.65
2015-11-06,3.65
2015-11-09,3.64
2015-11-10,3.64
2015-11-11,3.7
2015-11-12,3.68
2015-11-13,3.65
2015-11-16,3.57
2015-11-17,3.56
2015-11-18,3.52
2015-11-19,3.61
2015-11-20,3.53
2015-11-23,3.6
2015-11-24,3.45
2015-11-25,3.49
2015-11-26,3.5
2015-11-27,3.49
2015-11-30,3.6
2015-12-01,3.5
2015-12-02,3.49
2015-12-03,3.47
2015-12-04,3.47
2015-12-07,3.47
2015-12-08,3.36
2015-12-09,3.4
2015-12-10,3.4
2015-12-11,3.35
