Date,Close
2015-12-01,8.57
2015-12-02,8.94
2015-12-03,8.93
2015-12-04,8.76
2015-12-07,8.81
2015-12-08,8.7
2015-12-09,8.71
2015-12-10,8.7
2015-12-11,8.71
2015-12-14,8.8
2015-12-15,8.69
2015-12-16,8.67
2015-12-17,8.74
2015-12-18,9.07
2015-12-21,9.97
2015-12-22,9.58
2015-12-23,9.52
2015-12-24,9.39
2015-12-25,9.44
2015-12-28,9.14
2015-12-29,9.21
2015-12-30,9.43
2015-12-31,9.64
2016-01-04,9.03
2016-01-05,9.12
2016-01-06,9.15
2016-01-07,8.6
2016-01-08,8.7
2016-01-11,8.46
2016-01-12,8.47
2016-01-13,8.45
2016-01-14,8.49
2016-01-15,8.47
2016-01-18,8.49
2016-01-19,8.56
2016-01-20,8.58
2016-01-21,8.46
2016-01-22,8.5
2016-01-25,8.51
2016-01-26,8.36
2016-01-27,8.51
2016-01-28,8.53
2016-01-29,8.59
2016-02-01,8.5
2016-02-02,8.49
2016-02-03,8.44
2016-02-04,8.46
2016-02-05,8.43
2016-02-15,8.46
2016-02-16,8.58
2016-02-17,8.56
2016-02-18,8.59
2016-02-19,8.51
2016-02-22,8.6
2016-02-23,8.47
2016-02-24,8.5
2016-02-25,8.21
2016-02-26,8.31
2016-02-29,8.45
2016-03-01,8.43
2016-03-02,8.56
2016-03-03,8.7
2016-03-04,9.33
2016-03-07,9.17
2016-03-08,9.29
2016-03-09,9.34
2016-03-10,9.05
2016-03-11,9.12
2016-03-14,9.03
2016-03-15,9.17
2016-03-16,9.44
2016-03-17,9.2
2016-03-18,9.13
2016-03-21,9.2
2016-03-22,9.19
2016-03-23,9.16
2016-03-24,9.09
2016-03-25,9.09
2016-03-28,8.93
2016-03-29,8.94
2016-03-30,9.14
2016-03-31,9.11
2016-04-01,9.24
2016-04-05,9.22
2016-04-06,9.05
2016-04-07,8.99
2016-04-08,8.99
2016-04-11,9.01
2016-04-12,9.03
2016-04-13,9.11
2016-04-14,9.11
2016-04-15,9.21
2016-04-18,9.19
2016-04-19,9.2
2016-04-20,9.32
2016-04-21,9.3
2016-04-22,9.4
2016-04-25,9.44
2016-04-26,9.46
2016-04-27,9.39
2016-04-28,9.37
2016-04-29,9.3
2016-05-03,9.38
2016-05-04,9.38
2016-05-05,9.36
2016-05-06,9.26
2016-05-09,9.22
2016-05-10,9.26
2016-05-11,9.28
2016-05-12,9.27
2016-05-13,9.19
2016-05-16,9.2
2016-05-17,9.08
2016-05-18,9.13
2016-05-19,9.0
2016-05-20,9.0
2016-05-23,8.87
2016-05-24,8.68
2016-05-25,8.86
2016-05-26,8.9
2016-05-27,8.91
2016-05-30,8.95
2016-05-31,9.09
2016-06-01,8.98
2016-06-02,8.97
2016-06-03,8.99
2016-06-06,9.01
2016-06-07,9.0
2016-06-08,9.0
2016-06-13,8.95
2016-06-14,9.03
2016-06-15,9.05
2016-06-16,9.02
2016-06-17,9.08
2016-06-20,9.05
2016-06-21,9.08
2016-06-22,9.08
2016-06-23,9.09
2016-06-24,8.84
2016-06-27,8.87
2016-06-28,8.84
2016-06-29,9.14
2016-06-30,8.93
2016-07-01,8.93
2016-07-04,9.02
2016-07-05,8.97
2016-07-06,8.93
2016-07-07,8.96
2016-07-08,8.93
2016-07-11,8.99
2016-07-12,9.13
2016-07-13,9.16
2016-07-14,9.3
2016-07-15,9.25
2016-07-18,9.54
2016-07-19,9.5
2016-07-20,9.29
2016-07-21,9.31
2016-07-22,9.22
2016-07-25,9.19
2016-07-26,9.23
2016-07-27,9.24
2016-07-28,9.13
2016-07-29,9.16
2016-08-01,9.22
2016-08-02,9.2
2016-08-03,9.15
2016-08-04,9.14
2016-08-05,9.3
2016-08-08,9.23
2016-08-09,9.24
2016-08-10,9.24
2016-08-11,9.31
2016-08-12,9.49
2016-08-15,9.71
2016-08-16,9.41
2016-08-17,9.41
2016-08-18,9.36
2016-08-19,9.34
2016-08-22,9.28
2016-08-23,9.3
2016-08-24,9.27
2016-08-25,9.3
2016-08-26,9.3
2016-08-29,9.24
2016-08-30,9.35
2016-08-31,9.31
2016-09-01,9.28
2016-09-02,9.31
2016-09-05,9.35
2016-09-06,9.32
2016-09-07,9.33
2016-09-08,9.32
2016-09-09,9.3
2016-09-12,9.3
2016-09-13,9.31
2016-09-14,9.31
2016-09-19,9.33
2016-09-20,9.32
2016-09-21,9.33
2016-09-22,9.37
2016-09-23,9.38
2016-09-26,9.31
2016-09-27,9.31
2016-09-28,9.2
2016-09-29,9.23
2016-09-30,9.26
2016-10-10,9.33
2016-10-11,9.31
