Date,Close
2015-01-19,1.21
2015-01-20,1.23
2015-01-21,1.26
2015-01-22,1.25
2015-01-23,1.25
2015-01-26,1.25
2015-01-27,1.24
2015-01-28,1.26
2015-01-29,1.24
2015-01-30,1.25
2015-02-02,1.24
2015-02-03,1.23
2015-02-04,1.24
2015-02-05,1.24
2015-02-06,1.24
2015-02-09,1.23
2015-02-10,1.23
2015-02-11,1.23
2015-02-12,1.23
2015-02-13,1.26
2015-02-16,1.25
2015-02-17,1.26
2015-02-18,1.24
2015-02-23,1.26
2015-02-24,1.24
2015-02-25,1.26
2015-02-26,1.27
2015-02-27,1.27
2015-03-02,1.27
2015-03-03,1.25
2015-03-04,1.23
2015-03-05,1.24
2015-03-06,1.27
2015-03-09,1.28
2015-03-10,1.27
2015-03-11,1.28
2015-03-12,1.29
2015-03-13,1.29
2015-03-16,1.3
2015-03-17,1.3
2015-03-18,1.32
2015-03-19,1.33
2015-03-20,1.33
2015-03-23,1.34
2015-03-24,1.33
2015-03-25,1.31
2015-03-26,1.3
2015-03-27,1.33
2015-03-30,1.38
2015-03-31,1.38
2015-04-01,1.38
2015-04-02,1.41
2015-04-08,1.45
2015-04-09,1.49
2015-04-10,1.51
2015-04-13,1.6
2015-04-14,1.55
2015-04-15,1.54
2015-04-16,1.56
2015-04-17,1.58
2015-04-20,1.53
2015-04-21,1.55
2015-04-22,1.59
2015-04-23,1.59
2015-04-24,1.58
2015-04-27,1.61
2015-04-28,1.66
2015-04-29,1.65
2015-04-30,1.74
2015-05-04,1.88
2015-05-05,1.82
2015-05-06,1.74
2015-05-07,1.66
2015-05-08,1.76
2015-05-11,1.78
2015-05-12,1.81
2015-05-13,1.81
2015-05-14,1.86
2015-05-15,1.96
2015-05-18,2.18
2015-05-19,2.11
2015-05-20,2.18
2015-05-21,2.16
2015-05-22,2.15
2015-05-26,2.16
2015-05-27,2.2
2015-05-28,2.16
2015-05-29,2.26
2015-06-01,2.39
2015-06-02,2.14
2015-06-03,2.13
2015-06-04,2.16
2015-06-05,2.11
2015-06-08,2.1
2015-06-09,1.96
2015-06-10,1.92
2015-06-11,1.9
2015-06-12,1.95
2015-06-15,1.89
2015-06-16,1.85
2015-06-17,1.85
2015-06-18,1.83
2015-06-19,1.83
2015-06-22,1.76
2015-06-23,1.79
2015-06-24,1.79
2015-06-25,1.74
2015-06-26,1.73
2015-06-29,1.65
2015-06-30,1.7
2015-07-02,1.64
2015-07-03,1.61
2015-07-06,1.49
2015-07-07,1.39
2015-07-08,1.3
2015-07-09,1.66
2015-07-10,1.54
2015-07-13,1.6
2015-07-14,1.57
2015-07-15,1.53
2015-07-16,1.57
2015-07-17,1.6
2015-07-20,1.6
2015-07-21,1.6
2015-07-22,1.57
2015-07-23,1.58
2015-07-24,1.54
2015-07-27,1.46
2015-07-28,1.45
2015-07-29,1.48
2015-07-30,1.46
2015-07-31,1.45
2015-08-03,1.44
2015-08-04,1.44
2015-08-05,1.43
2015-08-06,1.48
2015-08-07,1.52
2015-08-10,1.5
2015-08-11,1.5
2015-08-12,1.45
2015-08-13,1.47
2015-08-14,1.61
2015-08-17,1.71
2015-08-18,1.71
2015-08-19,1.64
2015-08-20,1.68
2015-08-21,1.57
2015-08-24,1.42
2015-08-25,1.38
2015-08-26,1.36
2015-08-27,1.43
2015-08-28,1.45
2015-08-31,1.44
2015-09-01,1.41
2015-09-02,1.42
2015-09-04,1.37
2015-09-07,1.38
2015-09-08,1.43
2015-09-09,1.47
2015-09-10,1.45
2015-09-11,1.44
2015-09-14,1.41
2015-09-15,1.39
2015-09-16,1.44
2015-09-17,1.43
2015-09-18,1.59
2015-09-21,1.55
2015-09-22,1.51
2015-09-23,1.46
2015-09-24,1.48
2015-09-25,1.48
2015-09-29,1.43
2015-09-30,1.45
2015-10-02,1.53
2015-10-05,1.55
2015-10-06,1.55
2015-10-07,1.58
2015-10-08,1.57
2015-10-09,1.62
2015-10-12,1.67
2015-10-13,1.67
2015-10-14,1.61
2015-10-15,1.66
2015-10-16,1.75
2015-10-19,1.74
2015-10-20,1.78
2015-10-22,1.8
2015-10-23,1.78
2015-10-26,1.78
2015-10-27,1.8
2015-10-28,1.75
2015-10-29,1.72
2015-10-30,1.73
2015-11-02,1.76
2015-11-03,1.71
2015-11-04,1.71
2015-11-05,1.72
2015-11-06,1.75
2015-11-09,1.74
2015-11-10,1.69
2015-11-11,1.66
2015-11-12,1.67
2015-11-13,1.66
2015-11-16,1.62
2015-11-17,1.66
2015-11-18,1.68
2015-11-19,1.7
2015-11-20,1.7
2015-11-23,1.69
2015-11-24,1.71
2015-11-25,1.69
2015-11-26,1.68
2015-11-27,1.66
2015-11-30,1.64
2015-12-01,1.69
2015-12-02,1.71
2015-12-03,1.7
2015-12-04,1.68
2015-12-07,1.66
2015-12-08,1.63
2015-12-09,1.65
2015-12-10,1.54
2015-12-11,1.53
2015-12-14,1.54
2015-12-15,1.56
2015-12-16,1.57
2015-12-17,1.67
2015-12-18,1.66
2015-12-21,1.65
2015-12-22,1.62
2015-12-23,1.65
2015-12-24,1.63
2015-12-28,1.62
2015-12-29,1.63
2015-12-30,1.62
2015-12-31,1.63
2016-01-04,1.58
2016-01-05,1.58
2016-01-06,1.57
2016-01-07,1.49
