Symbol,Date,Qty,PerShare,Commission,Tax,Broker
XIN,2013-02-14,600,0.05,1.5,0.0,IB
XIN,2013-05-17,600,0.05,1.5,0.0,IB
XIN,2013-08-14,400,0.05,1.0,0.0,IB
NVDA,2016-02-29,100,0.115,0.0,1.15,IB
